Age,Preference,,,PreferWFH,PreferWFO
45,1,,,45,26
24,1,,,24,27
53,1,,,53,36
26,0,,,26,26
26,1,,,24,27
27,0,,,26,25
24,1,,,25,25
36,0,,,26,25
26,0,,,28,24
26,1,,,25,44
27,0,,,21,44
25,1,,,32,29
26,1,,,25,41
25,0,,,28,28
25,0,,,25,42
28,1,,,24,26
25,0,,,26,36
24,0,,,27,25
44,0,,,25,22
25,1,,,54,27
44,0,,,53,21
29,0,,,54,25
41,0,,,25,24
28,0,,,29,26
21,1,,,21,27
42,0,,,26,23
32,1,,,32,24
26,0,,,54,23
36,0,,,26,22
25,0,,,26,26
25,1,,,24,42
22,0,,,25,27
28,1,,,25,25
27,0,,,26,42
25,1,,,27,25
21,0,,,29,26
25,0,,,24,25
24,1,,,29,28
24,0,,,32,26
26,1,,,45,25
27,1,,,24,23
26,0,,,24,36
27,0,,,25,25
23,0,,,24,41
24,0,,,26,26
25,1,,,29,27
54,1,,,25,34
23,0,,,52,44
22,0,,,53,27
26,0,,,52,29
53,1,,,25,25
42,0,,,29,25
27,0,,,22,24
25,0,,,26,25
54,1,,,33,35
25,1,,,54,26
42,0,,,26,28
29,1,,,45,42
21,1,,,24,26
25,0,,,53,26
26,1,,,24,27
26,0,,,26,21
25,0,,,25,25
28,0,,,29,26
32,1,,,28,27
54,1,,,25,27
26,0,,,32,23
25,0,,,53,24
23,0,,,28,23
36,0,,,29,22
25,0,,,25,28
41,0,,,24,42
26,0,,,26,27
26,1,,,28,25
26,1,,,25,27
27,0,,,57,28
24,1,,,32,26
34,0,,,54,29
44,0,,,25,32
25,1,,,29,25
27,0,,,23,25
25,1,,,27,24
26,1,,,32,25
29,0,,,52,36
25,0,,,,26
27,1,,,,25
25,0,,,,42
24,0,,,,25
25,0,,,,27
29,1,,,,25
35,0,,,,24
26,0,,,,44
24,1,,,,44
28,0,,,,29
29,1,,,,41
42,0,,,,32
32,1,,,,26
26,0,,,,42
45,1,,,,27
24,1,,,,25
26,0,,,,25
24,1,,,,26
27,0,,,,22
25,1,,,,25
21,0,,,,29
25,0,,,,28
24,1,,,,27
26,0,,,,23
26,1,,,,24
29,1,,,,24
27,0,,,,22
27,0,,,,42
23,0,,,,26
24,0,,,,36
25,1,,,,25
52,1,,,,42
23,0,,,,26
22,0,,,,26
28,0,,,,24
53,1,,,,28
42,0,,,,22
27,0,,,,25
25,0,,,,23
52,1,,,,
25,1,,,,
27,0,,,,
29,1,,,,
22,1,,,,
28,0,,,,
26,1,,,,
26,0,,,,
29,0,,,,
30,0,,,,
33,1,,,,
54,1,,,,
25,0,,,,
25,0,,,,
24,0,,,,
25,0,,,,
36,0,,,,
26,1,,,,
45,1,,,,
24,1,,,,
53,1,,,,
26,0,,,,
25,0,,,,
40,0,,,,
24,1,,,,
25,0,,,,
26,1,,,,
27,0,,,,
25,1,,,,
29,1,,,,
28,1,,,,
25,0,,,,
24,0,,,,
44,0,,,,
25,1,,,,
44,0,,,,
29,0,,,,
41,0,,,,
30,0,,,,
30,1,,,,
26,0,,,,
53,1,,,,
42,0,,,,
27,0,,,,
25,0,,,,
28,1,,,,
25,0,,,,
29,1,,,,
26,0,,,,
25,1,,,,
22,0,,,,
25,0,,,,
24,1,,,,
29,0,,,,
26,1,,,,
28,1,,,,
28,0,,,,
27,0,,,,
23,0,,,,
24,0,,,,
25,1,,,,
57,1,,,,
24,0,,,,
22,0,,,,
42,0,,,,
32,1,,,,
26,0,,,,
36,0,,,,
25,0,,,,
54,1,,,,
25,1,,,,
42,0,,,,
29,1,,,,
23,1,,,,
26,0,,,,
27,1,,,,
26,0,,,,
24,0,,,,
28,0,,,,
32,1,,,,
52,1,,,,
22,0,,,,
25,0,,,,
23,0,,,,
