Age,Preference
45,1
24,1
53,1
26,0
26,1
27,0
24,1
36,0
26,0
26,1
27,0
25,1
26,1
25,0
25,0
28,1
25,0
24,0
44,0
25,1
44,0
29,0
41,0
28,0
21,1
42,0
32,1
26,0
36,0
25,0
25,1
22,0
28,1
27,0
25,1
21,0
25,0
24,1
24,0
26,1
27,1
26,0
27,0
23,0
24,0
25,1
54,1
23,0
22,0
26,0
53,1
42,0
27,0
25,0
54,1
25,1
42,0
29,1
21,1
25,0
26,1
26,0
25,0
28,0
32,1
54,1
26,0
25,0
23,0
36,0
25,0
41,0
26,0
26,1
26,1
27,0
24,1
34,0
44,0
25,1
27,0
25,1
26,1
29,0
25,0
27,1
25,0
24,0
25,0
29,1
35,0
26,0
24,1
28,0
29,1
42,0
32,1
26,0
45,1
24,1
26,0
24,1
27,0
25,1
21,0
25,0
24,1
26,0
26,1
29,1
27,0
27,0
23,0
24,0
25,1
52,1
23,0
22,0
28,0
53,1
42,0
27,0
25,0
52,1
25,1
27,0
29,1
22,1
28,0
26,1
26,0
29,0
30,0
33,1
54,1
25,0
25,0
24,0
25,0
36,0
26,1
45,1
24,1
53,1
26,0
25,0
40,0
24,1
25,0
26,1
27,0
25,1
29,1
28,1
25,0
24,0
44,0
25,1
44,0
29,0
41,0
30,0
30,1
26,0
53,1
42,0
27,0
25,0
28,1
25,0
29,1
26,0
25,1
22,0
25,0
24,1
29,0
26,1
28,1
28,0
27,0
23,0
24,0
25,1
57,1
24,0
22,0
42,0
32,1
26,0
36,0
25,0
54,1
25,1
42,0
29,1
23,1
26,0
27,1
26,0
24,0
28,0
32,1
52,1
22,0
25,0
23,0
